cell_id,table_name,row_index,column,competitor,value,evidence_ids
基础定位与用户场景对比_0_竞品,基础定位与用户场景对比,0,竞品,腾讯CodeBuddy,腾讯CodeBuddy,"[""ev_035"", ""ev_036"", ""ev_037""]"
基础定位与用户场景对比_0_产品定位,基础定位与用户场景对比,0,产品定位,腾讯CodeBuddy,腾讯云自研AI编程提效辅助工具，国内少数支持MCP生态的AI编程工具,"[""ev_035"", ""ev_036"", ""ev_037""]"
基础定位与用户场景对比_0_目标用户,基础定位与用户场景对比,0,目标用户,腾讯CodeBuddy,覆盖编程入门新手、个人开发者、研发团队、高数据安全要求的企业客户,"[""ev_035"", ""ev_036"", ""ev_037""]"
基础定位与用户场景对比_0_核心覆盖场景,基础定位与用户场景对比,0,核心覆盖场景,腾讯CodeBuddy,覆盖个人日常编码、编程学习、大型项目维护、团队协作、企业私有化内网开发全链路,"[""ev_035"", ""ev_036"", ""ev_037""]"
基础定位与用户场景对比_0_evidence_ids,基础定位与用户场景对比,0,evidence_ids,腾讯CodeBuddy,"[""ev_035"", ""ev_036"", ""ev_037""]","[""ev_035"", ""ev_036"", ""ev_037""]"
基础定位与用户场景对比_1_竞品,基础定位与用户场景对比,1,竞品,qoder,qoder,"[""ev_001"", ""ev_002"", ""ev_003""]"
基础定位与用户场景对比_1_产品定位,基础定位与用户场景对比,1,产品定位,qoder,深度理解全代码库、自主执行开发任务的开发者「思维伙伴」，非传统代码补全工具,"[""ev_001"", ""ev_002"", ""ev_003""]"
基础定位与用户场景对比_1_目标用户,基础定位与用户场景对比,1,目标用户,qoder,覆盖个人开发者、研发团队,"[""ev_001"", ""ev_002"", ""ev_003""]"
基础定位与用户场景对比_1_核心覆盖场景,基础定位与用户场景对比,1,核心覆盖场景,qoder,覆盖轻量基础编程、大规模代码库语义检索、复杂开发任务自动化执行、团队代码知识库共建,"[""ev_001"", ""ev_002"", ""ev_003""]"
基础定位与用户场景对比_1_evidence_ids,基础定位与用户场景对比,1,evidence_ids,qoder,"[""ev_001"", ""ev_002"", ""ev_003""]","[""ev_001"", ""ev_002"", ""ev_003""]"
产品体验与上手门槛对比_0_竞品,产品体验与上手门槛对比,0,竞品,腾讯CodeBuddy,腾讯CodeBuddy,"[""ev_046"", ""ev_045""]"
产品体验与上手门槛对比_0_VS_Code插件兼容性,产品体验与上手门槛对比,0,VS Code插件兼容性,腾讯CodeBuddy,原生支持VS Code全量功能集成，可直接在官方扩展市场搜索安装,"[""ev_046"", ""ev_045""]"
