cell_id,table_name,row_index,column,competitor,value,evidence_ids
基础产品定位与用户场景对比_0_竞品,基础产品定位与用户场景对比,0,竞品,通义灵码,通义灵码,"[""ev_080""]"
基础产品定位与用户场景对比_0_官方公开定位,基础产品定位与用户场景对比,0,官方公开定位,通义灵码,待搜索（方向：通义灵码官方产品定位；关键词：通义灵码 官网 产品定位 slogan）,"[""ev_080""]"
基础产品定位与用户场景对比_0_目标用户分层,基础产品定位与用户场景对比,0,目标用户分层,通义灵码,云原生开发者、企业级Java开发团队、阿里云生态用户,"[""ev_080""]"
基础产品定位与用户场景对比_0_核心优势场景,基础产品定位与用户场景对比,0,核心优势场景,通义灵码,云原生开发、Java企业级应用开发、阿里云3000+云服务一键接入,"[""ev_080""]"
基础产品定位与用户场景对比_0_公开适用边界_短板,基础产品定位与用户场景对比,0,公开适用边界/短板,通义灵码,待搜索（方向：通义灵码公开短板；关键词：通义灵码 用户实测 短板 能力边界）,"[""ev_080""]"
基础产品定位与用户场景对比_0_关联证据ID,基础产品定位与用户场景对比,0,关联证据ID,通义灵码,"[""ev_080""]","[""ev_080""]"
基础产品定位与用户场景对比_1_竞品,基础产品定位与用户场景对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_080""]"
基础产品定位与用户场景对比_1_官方公开定位,基础产品定位与用户场景对比,1,官方公开定位,CodeGeeX,待搜索（方向：CodeGeeX官方产品定位；关键词：CodeGeeX 官网 产品定位 slogan）,"[""ev_080""]"
基础产品定位与用户场景对比_1_目标用户分层,基础产品定位与用户场景对比,1,目标用户分层,CodeGeeX,高校师生、开源社区开发者、教育场景用户,"[""ev_080""]"
基础产品定位与用户场景对比_1_核心优势场景,基础产品定位与用户场景对比,1,核心优势场景,CodeGeeX,跨语言代码翻译、开源项目开发、教学实验场景，翻译准确率92%,"[""ev_080""]"
基础产品定位与用户场景对比_1_公开适用边界_短板,基础产品定位与用户场景对比,1,公开适用边界/短板,CodeGeeX,待搜索（方向：CodeGeeX公开短板；关键词：CodeGeeX 用户实测 短板 能力边界）,"[""ev_080""]"
基础产品定位与用户场景对比_1_关联证据ID,基础产品定位与用户场景对比,1,关联证据ID,CodeGeeX,"[""ev_080""]","[""ev_080""]"
基础产品定位与用户场景对比_2_竞品,基础产品定位与用户场景对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_071"", ""ev_072"", ""ev_076""]"
基础产品定位与用户场景对比_2_官方公开定位,基础产品定位与用户场景对比,2,官方公开定位,CodeBuddy,AI时代的智能编程伙伴，面向全类型开发者提供编码提效能力,"[""ev_071"", ""ev_072"", ""ev_076""]"
基础产品定位与用户场景对比_2_目标用户分层,基础产品定位与用户场景对比,2,目标用户分层,CodeBuddy,全阶段个人开发者、政企开发团队、非纯编码岗位从业者,"[""ev_071"", ""ev_072"", ""ev_076""]"
基础产品定位与用户场景对比_2_核心优势场景,基础产品定位与用户场景对比,2,核心优势场景,CodeBuddy,微信小程序开发、音视频客户端开发、游戏Demo快速搭建、全栈项目生成,"[""ev_071"", ""ev_072"", ""ev_076""]"
基础产品定位与用户场景对比_2_公开适用边界_短板,基础产品定位与用户场景对比,2,公开适用边界/短板,CodeBuddy,生成代码自带Bug需人工修复，免费版额度耗尽后响应延迟升至8-12秒，2026年企业版涨价超150%,"[""ev_071"", ""ev_072"", ""ev_076""]"
基础产品定位与用户场景对比_2_关联证据ID,基础产品定位与用户场景对比,2,关联证据ID,CodeBuddy,"[""ev_071"", ""ev_072"", ""ev_076""]","[""ev_071"", ""ev_072"", ""ev_076""]"
产品形态与使用体验对比_0_竞品,产品形态与使用体验对比,0,竞品,通义灵码,通义灵码,"[""ev_080""]"
产品形态与使用体验对比_0_支持的产品形态,产品形态与使用体验对比,0,支持的产品形态,通义灵码,待搜索（方向：通义灵码全量交付形态；关键词：通义灵码 产品形态 交付形态）,"[""ev_080""]"
产品形态与使用体验对比_0_适配IDE清单,产品形态与使用体验对比,0,适配IDE清单,通义灵码,待搜索（方向：通义灵码全量适配IDE清单；关键词：通义灵码 官方支持 IDE 清单）,"[""ev_080""]"
产品形态与使用体验对比_0_IDE最低版本要求,产品形态与使用体验对比,0,IDE最低版本要求,通义灵码,待搜索（方向：通义灵码IDE最低版本要求；关键词：通义灵码 IDE 最低版本 运行要求）,"[""ev_080""]"
产品形态与使用体验对比_0_首次激活配置成本,产品形态与使用体验对比,0,首次激活配置成本,通义灵码,待搜索（方向：通义灵码首次激活流程耗时；关键词：通义灵码 新用户 安装激活 实测耗时）,"[""ev_080""]"
产品形态与使用体验对比_0_关联证据ID,产品形态与使用体验对比,0,关联证据ID,通义灵码,"[""ev_080""]","[""ev_080""]"
产品形态与使用体验对比_1_竞品,产品形态与使用体验对比,1,竞品,CodeGeeX,CodeGeeX,"[""ev_080""]"
产品形态与使用体验对比_1_支持的产品形态,产品形态与使用体验对比,1,支持的产品形态,CodeGeeX,待搜索（方向：CodeGeeX全量交付形态；关键词：CodeGeeX 产品形态 交付形态）,"[""ev_080""]"
产品形态与使用体验对比_1_适配IDE清单,产品形态与使用体验对比,1,适配IDE清单,CodeGeeX,待搜索（方向：CodeGeeX全量适配IDE清单；关键词：CodeGeeX 官方支持 IDE 清单）,"[""ev_080""]"
产品形态与使用体验对比_1_IDE最低版本要求,产品形态与使用体验对比,1,IDE最低版本要求,CodeGeeX,待搜索（方向：CodeGeeXIDE最低版本要求；关键词：CodeGeeX IDE 最低版本 运行要求）,"[""ev_080""]"
产品形态与使用体验对比_1_首次激活配置成本,产品形态与使用体验对比,1,首次激活配置成本,CodeGeeX,待搜索（方向：CodeGeeX首次激活流程耗时；关键词：CodeGeeX 新用户 安装激活 实测耗时）,"[""ev_080""]"
产品形态与使用体验对比_1_关联证据ID,产品形态与使用体验对比,1,关联证据ID,CodeGeeX,"[""ev_080""]","[""ev_080""]"
产品形态与使用体验对比_2_竞品,产品形态与使用体验对比,2,竞品,CodeBuddy,CodeBuddy,"[""ev_073""]"
产品形态与使用体验对比_2_支持的产品形态,产品形态与使用体验对比,2,支持的产品形态,CodeBuddy,IDE插件、独立AI IDE、CLI命令行三类互补形态,"[""ev_073""]"
产品形态与使用体验对比_2_适配IDE清单,产品形态与使用体验对比,2,适配IDE清单,CodeBuddy,VS Code、JetBrains全系列、Visual Studio 2022、微信开发者工具、Xcode等,"[""ev_073""]"
产品形态与使用体验对比_2_IDE最低版本要求,产品形态与使用体验对比,2,IDE最低版本要求,CodeBuddy,VS Code v1.85+、JetBrains 2023.3+、Visual Studio 2022 v17.4+、Xcode 15.0+,"[""ev_073""]"
产品形态与使用体验对比_2_首次激活配置成本,产品形态与使用体验对比,2,首次激活配置成本,CodeBuddy,插件一键安装重启即可使用，独立IDE导入原有VS Code配置登录即可用，耗时约2分钟,"[""ev_073""]"
