cell_id,table_name,row_index,column,competitor,value,evidence_ids
核心硬件参数横向对比表_0_竞品名称,核心硬件参数横向对比表,0,竞品名称,罗技 G903,罗技 G903,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_最高DPI,核心硬件参数横向对比表,0,最高DPI,罗技 G903,25600,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_裸机重量,核心硬件参数横向对比表,0,裸机重量,罗技 G903,约110g,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_最高轮询率,核心硬件参数横向对比表,0,最高轮询率,罗技 G903,1000Hz,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_连接方式,核心硬件参数横向对比表,0,连接方式,罗技 G903,2.4G无线+有线双模,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_标称续航,核心硬件参数横向对比表,0,标称续航,罗技 G903,180小时,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_微动寿命,核心硬件参数横向对比表,0,微动寿命,罗技 G903,欧姆龙机械微动,"[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_0_evidence_ids,核心硬件参数横向对比表,0,evidence_ids,罗技 G903,"[""ev_005"", ""ev_006"", ""ev_008""]","[""ev_005"", ""ev_006"", ""ev_008""]"
核心硬件参数横向对比表_1_竞品名称,核心硬件参数横向对比表,1,竞品名称,罗技 gpw3,罗技 gpw3,"[""ev_022"", ""ev_024"", ""ev_025"", ""ev_026""]"
核心硬件参数横向对比表_1_最高DPI,核心硬件参数横向对比表,1,最高DPI,罗技 gpw3,最高标注44000,"[""ev_022"", ""ev_024"", ""ev_025"", ""ev_026""]"
核心硬件参数横向对比表_1_裸机重量,核心硬件参数横向对比表,1,裸机重量,罗技 gpw3,58-63g,"[""ev_022"", ""ev_024"", ""ev_025"", ""ev_026""]"
核心硬件参数横向对比表_1_最高轮询率,核心硬件参数横向对比表,1,最高轮询率,罗技 gpw3,多数来源标注2KHz,"[""ev_022"", ""ev_024"", ""ev_025"", ""ev_026""]"
