cell_id,table_name,row_index,column,competitor,value,evidence_ids
竞品基础定位与目标用户场景对比_0_竞品名称,竞品基础定位与目标用户场景对比,0,竞品名称,极氪001,极氪001,"[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_0_核心用户画像,竞品基础定位与目标用户场景对比,0,核心用户画像,极氪001,30-45岁有25万以上预算的置换/增购用户，覆盖中高端家庭、性能车爱好者,"[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_0_典型使用场景,竞品基础定位与目标用户场景对比,0,典型使用场景,极氪001,日常城市通勤、中长途跨城出行、5人以上家庭集体出行、赛道玩车场景,"[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_0_适用边界,竞品基础定位与目标用户场景对比,0,适用边界,极氪001,定价门槛高，仅和我方高端置换用户少量重叠，不覆盖20万以下预算群体,"[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_0_核心产品衍生版本,竞品基础定位与目标用户场景对比,0,核心产品衍生版本,极氪001,常规量产版、高性能FR版、2025/2026款、五周年限定纪念版,"[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_0_支撑证据ID,竞品基础定位与目标用户场景对比,0,支撑证据ID,极氪001,"[""ev_015"", ""ev_016""]","[""ev_015"", ""ev_016""]"
竞品基础定位与目标用户场景对比_1_竞品名称,竞品基础定位与目标用户场景对比,1,竞品名称,小米SU7,小米SU7,"[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_1_核心用户画像,竞品基础定位与目标用户场景对比,1,核心用户画像,小米SU7,超60%为首次购车用户，22%来自BBA置换，核心覆盖米粉、三口及以下小家庭用户,"[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_1_典型使用场景,竞品基础定位与目标用户场景对比,1,典型使用场景,小米SU7,日常城市通勤、中长途跨城出行、运动化驾驶体验三类高频场景,"[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_1_适用边界,竞品基础定位与目标用户场景对比,1,适用边界,小米SU7,仅支持五座布局，不适配多人口家庭多人满载全场景出行需求,"[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_1_核心产品衍生版本,竞品基础定位与目标用户场景对比,1,核心产品衍生版本,小米SU7,标准版、Pro版、Max版三个配置版本,"[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_1_支撑证据ID,竞品基础定位与目标用户场景对比,1,支撑证据ID,小米SU7,"[""ev_001"", ""ev_002""]","[""ev_001"", ""ev_002""]"
竞品基础定位与目标用户场景对比_2_竞品名称,竞品基础定位与目标用户场景对比,2,竞品名称,小鹏P7,小鹏P7,[]
竞品基础定位与目标用户场景对比_2_核心用户画像,竞品基础定位与目标用户场景对比,2,核心用户画像,小鹏P7,待搜索（方向：小鹏P7官方/第三方披露的核心购买人群属性、年龄分层；关键词：小鹏P7 用户画像 年龄 购车来源）,[]
竞品基础定位与目标用户场景对比_2_典型使用场景,竞品基础定位与目标用户场景对比,2,典型使用场景,小鹏P7,待搜索（方向：小鹏P7官方宣传核心使用场景、车主高频出行场景调研；关键词：小鹏P7 核心使用场景 车主高频出行）,[]
竞品基础定位与目标用户场景对比_2_适用边界,竞品基础定位与目标用户场景对比,2,适用边界,小鹏P7,待搜索（方向：小鹏P7车身布局、座位数、空间实测对应的适用人群边界；关键词：小鹏P7 车身布局 座位数 空间实测 适用边界）,[]
竞品基础定位与目标用户场景对比_2_核心产品衍生版本,竞品基础定位与目标用户场景对比,2,核心产品衍生版本,小鹏P7,待搜索（方向：小鹏P7当前在售全版本产品线清单、版本定位差异；关键词：小鹏P7 在售版本 产品线矩阵 定位差异）,[]
竞品基础定位与目标用户场景对比_2_支撑证据ID,竞品基础定位与目标用户场景对比,2,支撑证据ID,小鹏P7,[],[]
动力续航与补能核心参数对比_0_竞品名称,动力续航与补能核心参数对比,0,竞品名称,极氪001,极氪001,"[""ev_020""]"
动力续航与补能核心参数对比_0_动力配置与零百加速,动力续航与补能核心参数对比,0,动力配置与零百加速,极氪001,单电机310kW、四驱580-680kW，零百加速2.83-4.98秒,"[""ev_020""]"
动力续航与补能核心参数对比_0_CLTC纯电续航覆盖区间,动力续航与补能核心参数对比,0,CLTC纯电续航覆盖区间,极氪001,675km-810km,"[""ev_020""]"
动力续航与补能核心参数对比_0_高压平台规格,动力续航与补能核心参数对比,0,高压平台规格,极氪001,2026款升级900V高压架构，全系标配SiC碳化硅,"[""ev_020""]"
动力续航与补能核心参数对比_0_快充补能效率,动力续航与补能核心参数对比,0,快充补能效率,极氪001,10%-80%快充最快7-10分钟,"[""ev_020""]"
动力续航与补能核心参数对比_0_支撑证据ID,动力续航与补能核心参数对比,0,支撑证据ID,极氪001,"[""ev_020""]","[""ev_020""]"
动力续航与补能核心参数对比_1_竞品名称,动力续航与补能核心参数对比,1,竞品名称,小米SU7,小米SU7,"[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_1_动力配置与零百加速,动力续航与补能核心参数对比,1,动力配置与零百加速,小米SU7,单/双电机可选，搭载V6s Plus电机，最快零百3.08秒,"[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_1_CLTC纯电续航覆盖区间,动力续航与补能核心参数对比,1,CLTC纯电续航覆盖区间,小米SU7,720km-902km,"[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_1_高压平台规格,动力续航与补能核心参数对比,1,高压平台规格,小米SU7,全系升级800V高压架构，搭载SiC碳化硅配置,"[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_1_快充补能效率,动力续航与补能核心参数对比,1,快充补能效率,小米SU7,15分钟补能510km,"[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_1_支撑证据ID,动力续航与补能核心参数对比,1,支撑证据ID,小米SU7,"[""ev_008"", ""ev_010"", ""ev_011""]","[""ev_008"", ""ev_010"", ""ev_011""]"
动力续航与补能核心参数对比_2_竞品名称,动力续航与补能核心参数对比,2,竞品名称,小鹏P7,小鹏P7,[]
动力续航与补能核心参数对比_2_动力配置与零百加速,动力续航与补能核心参数对比,2,动力配置与零百加速,小鹏P7,待搜索（方向：小鹏P7全系动力配置参数、官方公示零百加速成绩；关键词：小鹏P7 动力配置 零百加速）,[]
动力续航与补能核心参数对比_2_CLTC纯电续航覆盖区间,动力续航与补能核心参数对比,2,CLTC纯电续航覆盖区间,小鹏P7,待搜索（方向：小鹏P7全版本官方公示CLTC纯电续航里程数据；关键词：小鹏P7 CLTC续航 里程）,[]
动力续航与补能核心参数对比_2_高压平台规格,动力续航与补能核心参数对比,2,高压平台规格,小鹏P7,待搜索（方向：小鹏P7高压平台架构参数、是否搭载800V及以上高压平台；关键词：小鹏P7 高压平台 800V SiC）,[]
动力续航与补能核心参数对比_2_快充补能效率,动力续航与补能核心参数对比,2,快充补能效率,小鹏P7,待搜索（方向：小鹏P7官方公示的10%-80%快充时长、补能里程参数；关键词：小鹏P7 快充时长 补能效率）,[]
动力续航与补能核心参数对比_2_支撑证据ID,动力续航与补能核心参数对比,2,支撑证据ID,小鹏P7,[],[]
智能座舱与高阶智驾配置对比_0_竞品名称,智能座舱与高阶智驾配置对比,0,竞品名称,极氪001,极氪001,"[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_0_座舱核心芯片配置,智能座舱与高阶智驾配置对比,0,座舱核心芯片配置,极氪001,全系搭载高通骁龙8295智能座舱芯片,"[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_0_核心座舱交互功能,智能座舱与高阶智驾配置对比,0,核心座舱交互功能,极氪001,AI语音助理、四屏互联、人脸ID识别，支持HUAWEI HiCar互联,"[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_0_智驾硬件传感器配置,智能座舱与高阶智驾配置对比,0,智驾硬件传感器配置,极氪001,除入门版外标配激光雷达，搭载多颗毫米波雷达、摄像头,"[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_0_智驾算力与支持功能,智能座舱与高阶智驾配置对比,0,智驾算力与支持功能,极氪001,双Orin-X/Thor-U芯片，支持高速+城区全场景领航、遥控泊车,"[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_0_支撑证据ID,智能座舱与高阶智驾配置对比,0,支撑证据ID,极氪001,"[""ev_017"", ""ev_019""]","[""ev_017"", ""ev_019""]"
智能座舱与高阶智驾配置对比_1_竞品名称,智能座舱与高阶智驾配置对比,1,竞品名称,小米SU7,小米SU7,"[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_1_座舱核心芯片配置,智能座舱与高阶智驾配置对比,1,座舱核心芯片配置,小米SU7,搭载高通骁龙8 Gen3智能座舱主控芯片,"[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_1_核心座舱交互功能,智能座舱与高阶智驾配置对比,1,核心座舱交互功能,小米SU7,5区域语音唤醒，超级小爱覆盖95%车控，标配车外语音、声纹识别,"[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_1_智驾硬件传感器配置,智能座舱与高阶智驾配置对比,1,智驾硬件传感器配置,小米SU7,1颗激光雷达、4D毫米波雷达等合计25个智能传感器,"[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_1_智驾算力与支持功能,智能座舱与高阶智驾配置对比,1,智驾算力与支持功能,小米SU7,700TOPS英伟达Thor芯片，支持高速/城市领航、全场景泊车,"[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_1_支撑证据ID,智能座舱与高阶智驾配置对比,1,支撑证据ID,小米SU7,"[""ev_004"", ""ev_005""]","[""ev_004"", ""ev_005""]"
智能座舱与高阶智驾配置对比_2_竞品名称,智能座舱与高阶智驾配置对比,2,竞品名称,小鹏P7,小鹏P7,[]
智能座舱与高阶智驾配置对比_2_座舱核心芯片配置,智能座舱与高阶智驾配置对比,2,座舱核心芯片配置,小鹏P7,待搜索（方向：小鹏P7当前在售版本搭载的智能座舱芯片型号；关键词：小鹏P7 座舱芯片 型号）,[]
智能座舱与高阶智驾配置对比_2_核心座舱交互功能,智能座舱与高阶智驾配置对比,2,核心座舱交互功能,小鹏P7,待搜索（方向：小鹏P7官方宣传的核心座舱交互功能、语音控车覆盖比例；关键词：小鹏P7 座舱交互 语音控车）,[]
智能座舱与高阶智驾配置对比_2_智驾硬件传感器配置,智能座舱与高阶智驾配置对比,2,智驾硬件传感器配置,小鹏P7,待搜索（方向：小鹏P7全系智驾传感器配置清单、激光雷达搭载覆盖范围；关键词：小鹏P7 智驾传感器 激光雷达）,[]
